node_names,edges,0,1,2,3,4,5,6,7
xx_98,0.015232917,0.0076126186,0.025886906,0.010695434,0.03010775,0.013946393,0.035033848,0.017437382,0.03984454
Celastrina_argiolus,0.016793,0.0069369166,0.028229266,0.010717763,0.03271253,0.014315711,0.037765343,0.01828611,0.042358216
xx_99,0.020959474,0.008152461,0.02787463,0.011450306,0.03200837,0.014687693,0.037258275,0.017987816,0.041971967
Jalmenus_evagoras,0.01639,0.0076471167,0.027356813,0.011614832,0.03232259,0.0150786145,0.038492564,0.018800357,0.044448573
Calycopis_cecrops,0.017691,0.008340694,0.026104834,0.010725044,0.029178359,0.013571583,0.034137107,0.01621453,0.0392532
Eumaeus_atala,0.017118,0.009238878,0.015220766,0.011413033,0.019995293,0.013427233,0.024952922,0.015119093,0.030083073
xx_100,0.014026139,0.0053221635,0.038920537,0.008513084,0.043115813,0.011213063,0.048015147,0.014379203,0.052845016
Phoebis_sennae,0.017665,0.0053666527,0.04010921,0.007856637,0.04504898,0.0101772025,0.050648328,0.012644077,0.056066517
xx_101,0.015664555,0.0053046443,0.02695099,0.008655491,0.031245489,0.0118697435,0.036121678,0.015215633,0.041289512
Aporia_crataegi,0.012131,0.0049433205,0.028520117,0.008353018,0.033300158,0.011728868,0.038431693,0.015224406,0.04361318
xx_102,0.015394151,0.005285596,0.028043363,0.008704702,0.032218162,0.011726163,0.037129678,0.014800934,0.042073168
Leptosia_nina,0.020459,0.00408598,0.019958125,0.007949542,0.024309846,0.0117243165,0.029428486,0.015063047,0.03483712
xx_103,0.008187776,0.01174967,0.021130968,0.014357405,0.026654454,0.016315699,0.033157546,0.017589329,0.03972643
Zestusa_dorus,0.008447,0.014484576,0.024202129,0.01713144,0.029874565,0.018448912,0.036208875,0.020854745,0.042074945
xx_104,0.006680712,0.013062372,0.022896422,0.016434345,0.027227681,0.019034011,0.032919616,0.021691607,0.038531397
Pyrgus_malvae,0.005982,0.013577406,0.022489367,0.016607134,0.027056906,0.01947875,0.032903995,0.022452863,0.038738452
xx_105,0.011332745,0.013863746,0.025161397,0.016916787,0.029330706,0.019102253,0.033960916,0.021531943,0.039097484
Lerema_accius,0.012021,0.010705355,0.028764322,0.01296738,0.033578664,0.014723277,0.039342683,0.016717756,0.045241546
xx_106,0.019486438,0.01970523,0.023990704,0.022745555,0.026265236,0.024644857,0.029831711,0.026968615,0.033464298
xx_107,0.012631571,0.016092345,0.020781884,0.018650556,0.024213534,0.02022058,0.028419392,0.02234339,0.032951638
xx_108,0.020222876,0.014792169,0.02089483,0.017841317,0.023944644,0.020090688,0.02827358,0.022224484,0.03270058
xx_109,0.03401828,0.011079915,0.018133715,0.0150668975,0.022009049,0.018168746,0.02726227,0.02136663,0.032384142
xx_110,0.023629433,0.021148901,0.028619811,0.023690738,0.03074402,0.025906976,0.0333128,0.028638704,0.035564944
xx_111,0.030341309,0.013155706,0.018276295,0.016050177,0.022814358,0.017819205,0.0286693,0.019907225,0.03473714
Lasiocampa_quercus,0.014437,0.013498145,0.021906031,0.01606115,0.026155086,0.017864047,0.031414215,0.01975231,0.036526576
Dendrolimus_pini,0.006044,0.015932387,0.024777096,0.018661642,0.028572705,0.021075709,0.033113305,0.023448117,0.037546467
xx_112,0.009436553,0.011985047,0.018644845,0.015426763,0.021817345,0.018129598,0.026483184,0.021064283,0.03118647
